gene_name,gene_id,logfc,p
BRCA1,ENSG00000012048.23,4.00418563348692,3.56442870319369e-89
ATP10A,ENSG00000206190.13,3.99601405681811,2.1766777094411801e-60
TEDC2,ENSG00000162062.15,3.99268489634952,1.7329813717064e-09
RNA5SP219,ENSG00000212242.1,3.98307901158741,0.0044961705436336
TTC29,ENSG00000137473.19,3.98271507400879,4.23388313683671e-05
EXOC3L1,ENSG00000179044.16,3.97591445560545,4.20207900656475e-21
PNPT1,ENSG00000138035.15,3.9757860550857,0.0
ANLN,ENSG00000011426.11,3.97390389742801,4.13291229618423e-60
INAVA,ENSG00000163362.11,3.9708106675837,7.54661215944194e-64
KRT17P6,ENSG00000231645.3,3.97056579043816,0.0020146245414466
TYMP,ENSG00000025708.14,3.96435497093146,1.11137709384793e-227
MBL1P,ENSG00000242600.8,3.96236040839204,0.0054206673788445
RAD54L,ENSG00000085999.13,3.95436881195536,5.745046019762377e-29
UPK3B,ENSG00000243566.7,3.95081127194417,0.0017957495829258
PKD1P2,ENSG00000227827.3,3.9401895533327,6.53667562043353e-05
BMS1P4,ENSG00000271816.1,3.93013661624316,0.0067704310323896
NCAPH,ENSG00000121152.10,3.91248853862926,1.4654890881701e-28
FFAR2,ENSG00000126262.5,3.91069627124519,1.1404693458209599e-42
NKAIN1,ENSG00000084628.10,3.90951154753855,9.509389390012088e-11
KIFC1,ENSG00000237649.8,3.90515501008681,5.5805012490849604e-52
SLC2A12,ENSG00000146411.6,3.89919047762267,0.0024101372362413
FAM86C2P,ENSG00000160172.10,3.89424677758047,3.52488463267425e-06
CYLD-AS1,ENSG00000261644.3,3.88743816484967,7.24321045838025e-09
MT-TS2,ENSG00000210184.1,3.88680018225866,0.0059274283950054
NUF2,ENSG00000143228.13,3.88566432128036,4.6825756324282e-22
VN1R83P,ENSG00000268521.1,3.88357213762596,0.0059975345648669
TAMALIN,ENSG00000161835.11,3.86848733433877,4.58740788634634e-13
CBX3P2,ENSG00000266405.3,3.86766647206291,0.0027448188356215
LINC00937,ENSG00000226091.7,3.86519182270221,0.003261526745028
GALNT12,ENSG00000119514.7,3.86253039968267,4.4133361784435197e-26
DDX3P3,ENSG00000251571.1,3.86143814467015,0.0078264267159937
ETV7,ENSG00000010030.14,3.8538431289358,2.43549184551494e-78
NCOA7,ENSG00000111912.20,3.8537223250772,0.0
LTA,ENSG00000226979.9,3.84614364439471,1.06421876265721e-13
DAPP1,ENSG00000070190.13,3.84463402090953,1.13537868620418e-137
CEP55,ENSG00000138180.16,3.84408924785005,2.73782342967563e-16
POLQ,ENSG00000051341.15,3.84360667173891,3.28345764194316e-44
Metazoa_SRP,ENSG00000274011.1,3.84060473499309,0.0033837604846717
KNL1,ENSG00000137812.21,3.84036646659255,9.51994717077755e-39
CALML4,ENSG00000129007.16,3.83776017157647,0.0069111283553552
TTK,ENSG00000112742.10,3.83593737671998,1.7958274343167797e-30
PDSS1P1,ENSG00000182347.10,3.82906439406286,0.0066916223735726
TSPOAP1-AS1,ENSG00000265148.7,3.82290904640491,4.89551342148257e-06
PNPT1P1,ENSG00000229241.1,3.81979758435476,0.0041896482057518
CLEC5A,ENSG00000258227.7,3.81579513113636,4.71828352384372e-70
LBHD2,ENSG00000283071.1,3.81346679824472,0.0109416988578919
FPR2,ENSG00000171049.9,3.80900959900648,8.77278697385746e-07
KIF2C,ENSG00000142945.13,3.80721501210896,8.68964726563217e-53
KDM6A,ENSG00000147050.17,3.80588723426821,1.08891010343131e-19
APOA2,ENSG00000158874.11,3.80180021053492,0.003589443240169
SRSF6P2,ENSG00000235554.1,3.80130723018787,0.0036059890932881
GCH1,ENSG00000131979.20,3.80128530648,0.0
SMTNL1,ENSG00000214872.9,3.79684599377882,1.94048855342377e-08
TRIM5,ENSG00000132256.20,3.79463986822744,1.17224038314686e-128
ODF3B,ENSG00000177989.14,3.78806184288505,2.23802349871102e-24
GRIP2,ENSG00000144596.13,3.78596531161128,6.71993815879597e-25
FAM186B,ENSG00000135436.8,3.77862499064747,0.0002410157067711
VCAN,ENSG00000038427.16,3.77631285704722,5.4179075020557496e-11
RHPN1-AS1,ENSG00000254389.3,3.77484282669483,6.68499844936206e-07
ANKRD23,ENSG00000163126.15,3.76457331868114,0.0083736440422593
XRCC2,ENSG00000196584.3,3.76418020315499,1.6569500661427699e-18
IFI35,ENSG00000068079.8,3.75912987769449,8.95732507804034e-267
LINC01093,ENSG00000249173.7,3.75645993900726,0.0001597362147612
PIMREG,ENSG00000129195.16,3.75022881759767,0.0096543456226938
SLC25A28,ENSG00000155287.11,3.74912869715263,1.05805922043359e-93
TNC,ENSG00000041982.16,3.74482552056859,4.1793633214053396e-30
SLF1,ENSG00000133302.13,3.74045805102414,1.52247592534162e-20
NRG2,ENSG00000158458.21,3.73709574978593,1.0118181494770401e-54
ID1,ENSG00000125968.9,3.73607080062532,3.14190392573407e-32
RAD54B,ENSG00000197275.14,3.72327036106596,1.19894099230878e-05
PAQR8,ENSG00000170915.9,3.72118618430451,1.1226508286328801e-60
GPR183,ENSG00000169508.7,3.71901715275163,2.28272708911883e-82
SLC26A1,ENSG00000145217.14,3.71675808475491,7.87867010456775e-17
MIR503HG,ENSG00000223749.11,3.71170322169224,9.653504136921779e-12
GATD3A,ENSG00000160221.18,3.70381293057184,0.0042518657035978
NFE2L3,ENSG00000050344.9,3.69168404508735,3.20488708805685e-109
